descripcion;mes;sum
ARVEJA SECA ENTERA;10;0
ARVEJA SECA ENTERA;11;1
ARVEJA SECA ENTERA;12;0
ARVEJA SECA PART. AMERICANA;1;0
ARVEJA SECA PART. AMERICANA;2;0
ARVEJA SECA PART. AMERICANA;3;0
ARVEJA SECA PART. AMERICANA;4;0
ARVEJA SECA PART. AMERICANA;5;0
ARVEJA SECA PART. AMERICANA;6;0
ARVEJA SECA PART. AMERICANA;7;0
ARVEJA SECA PART. AMERICANA;8;0
ARVEJA SECA PART. AMERICANA;9;0
ARVEJA SECA PART. AMERICANA;10;0
ARVEJA SECA PART. AMERICANA;11;0
ARVEJA SECA PART. AMERICANA;12;0
ARVEJA VERDE AMERICANA/MEJORA/(CRI/SERR);1;8546
ARVEJA VERDE AMERICANA/MEJORA/(CRI/SERR);2;9009
ARVEJA VERDE AMERICANA/MEJORA/(CRI/SERR);3;11076
ARVEJA VERDE AMERICANA/MEJORA/(CRI/SERR);4;8186
ARVEJA VERDE AMERICANA/MEJORA/(CRI/SERR);5;7763
ARVEJA VERDE AMERICANA/MEJORA/(CRI/SERR);6;7757
ARVEJA VERDE AMERICANA/MEJORA/(CRI/SERR);7;8672
ARVEJA VERDE AMERICANA/MEJORA/(CRI/SERR);8;8430
ARVEJA VERDE AMERICANA/MEJORA/(CRI/SERR);9;10111
ARVEJA VERDE AMERICANA/MEJORA/(CRI/SERR);10;8930
ARVEJA VERDE AMERICANA/MEJORA/(CRI/SERR);11;6801
ARVEJA VERDE AMERICANA/MEJORA/(CRI/SERR);12;6132
ARVEJA VERDE AZUL (CRIOLLA/SERRANA);1;1166
ARVEJA VERDE AZUL (CRIOLLA/SERRANA);2;654
ARVEJA VERDE AZUL (CRIOLLA/SERRANA);3;640
ARVEJA VERDE AZUL (CRIOLLA/SERRANA);4;718
ARVEJA VERDE AZUL (CRIOLLA/SERRANA);5;423
ARVEJA VERDE AZUL (CRIOLLA/SERRANA);6;287
ARVEJA VERDE AZUL (CRIOLLA/SERRANA);7;630
ARVEJA VERDE AZUL (CRIOLLA/SERRANA);8;803
ARVEJA VERDE AZUL (CRIOLLA/SERRANA);9;619
ARVEJA VERDE AZUL (CRIOLLA/SERRANA);10;1260
ARVEJA VERDE AZUL (CRIOLLA/SERRANA);11;1323
ARVEJA VERDE AZUL (CRIOLLA/SERRANA);12;1071
ARVEJA VERDE BLANCA CRIOLLA;1;110
ARVEJA VERDE BLANCA CRIOLLA;2;5
ARVEJA VERDE BLANCA CRIOLLA;3;0
ARVEJA VERDE BLANCA CRIOLLA;4;9
ARVEJA VERDE BLANCA CRIOLLA;5;2
ARVEJA VERDE BLANCA CRIOLLA;6;12
ARVEJA VERDE BLANCA CRIOLLA;7;131
ARVEJA VERDE BLANCA CRIOLLA;8;618
ARVEJA VERDE BLANCA CRIOLLA;9;559
ARVEJA VERDE BLANCA CRIOLLA;10;1404
ARVEJA VERDE BLANCA CRIOLLA;11;775
ARVEJA VERDE BLANCA CRIOLLA;12;143
ARVEJA VERDE BLANCA SERRANA;1;6376
ARVEJA VERDE BLANCA SERRANA;2;8117
ARVEJA VERDE BLANCA SERRANA;3;9782
ARVEJA VERDE BLANCA SERRANA;4;8170
ARVEJA VERDE BLANCA SERRANA;5;7248
ARVEJA VERDE BLANCA SERRANA;6;8364
ARVEJA VERDE BLANCA SERRANA;7;8111
ARVEJA VERDE BLANCA SERRANA;8;6750
ARVEJA VERDE BLANCA SERRANA;9;4477
ARVEJA VERDE BLANCA SERRANA;10;3570
ARVEJA VERDE BLANCA SERRANA;11;3863
ARVEJA VERDE BLANCA SERRANA;12;3039
BERENJENA (CRIOLLA/SERRANA);1;5
BERENJENA (CRIOLLA/SERRANA);2;5
BERENJENA (CRIOLLA/SERRANA);3;6
BERENJENA (CRIOLLA/SERRANA);4;3
BERENJENA (CRIOLLA/SERRANA);5;7
BERENJENA (CRIOLLA/SERRANA);6;7
BERENJENA (CRIOLLA/SERRANA);7;6
BERENJENA (CRIOLLA/SERRANA);8;5
BERENJENA (CRIOLLA/SERRANA);9;1
BERENJENA (CRIOLLA/SERRANA);10;3
BERENJENA (CRIOLLA/SERRANA);11;7
BERENJENA (CRIOLLA/SERRANA);12;3
BETERRAGA (CRIOLLA/SERRANA);1;13
BETERRAGA (CRIOLLA/SERRANA);2;5
BETERRAGA (CRIOLLA/SERRANA);3;10
BETERRAGA (CRIOLLA/SERRANA);4;3
BETERRAGA (CRIOLLA/SERRANA);5;7
BETERRAGA (CRIOLLA/SERRANA);6;4
BETERRAGA (CRIOLLA/SERRANA);7;9
BETERRAGA (CRIOLLA/SERRANA);8;4
BETERRAGA (CRIOLLA/SERRANA);9;29
BETERRAGA (CRIOLLA/SERRANA);10;6
BETERRAGA (CRIOLLA/SERRANA);11;6
BETERRAGA (CRIOLLA/SERRANA);12;8
BROCOLI;1;64
BROCOLI;2;34
BROCOLI;3;50
BROCOLI;4;36
BROCOLI;5;52
BROCOLI;6;49
BROCOLI;7;60
BROCOLI;8;57
BROCOLI;9;68
BROCOLI;10;71
BROCOLI;11;69
BROCOLI;12;60
CAIGUA (CRIOLLA/SERRANA);1;3
CAIGUA (CRIOLLA/SERRANA);2;1
CAIGUA (CRIOLLA/SERRANA);3;1
CAIGUA (CRIOLLA/SERRANA);4;0
CAIGUA (CRIOLLA/SERRANA);5;1
CAIGUA (CRIOLLA/SERRANA);6;2
CAIGUA (CRIOLLA/SERRANA);7;0
CAIGUA (CRIOLLA/SERRANA);8;1
CAIGUA (CRIOLLA/SERRANA);9;0
CAIGUA (CRIOLLA/SERRANA);10;1
CAIGUA (CRIOLLA/SERRANA);11;1
CAIGUA (CRIOLLA/SERRANA);12;0
CAIGUA (SELVA);1;26
CAIGUA (SELVA);2;49
CAIGUA (SELVA);3;66
CAIGUA (SELVA);4;122
CAIGUA (SELVA);5;128
CAIGUA (SELVA);6;54
CAIGUA (SELVA);7;27
CAIGUA (SELVA);8;30
CAIGUA (SELVA);9;16
CAIGUA (SELVA);10;12
CAIGUA (SELVA);11;3
CAIGUA (SELVA);12;8
CALABAZA CHINA;1;0
CALABAZA CHINA;2;0
CALABAZA CHINA;3;0
CALABAZA CHINA;4;0
CALABAZA CHINA;5;0
CALABAZA CHINA;6;0
CALABAZA CHINA;7;0
CALABAZA CHINA;8;0
CALABAZA CHINA;9;0
CALABAZA CHINA;10;0
CALABAZA CHINA;11;0
CALABAZA CHINA;12;0
CALABAZA (CRIOLLA/SERRANA);1;0
CALABAZA (CRIOLLA/SERRANA);2;0
CALABAZA (CRIOLLA/SERRANA);3;1
CALABAZA (CRIOLLA/SERRANA);4;1
CALABAZA (CRIOLLA/SERRANA);5;0
CALABAZA (CRIOLLA/SERRANA);6;0
CALABAZA (CRIOLLA/SERRANA);7;0
CALABAZA (CRIOLLA/SERRANA);8;0
CALABAZA (CRIOLLA/SERRANA);9;0
CALABAZA (CRIOLLA/SERRANA);10;0
CALABAZA (CRIOLLA/SERRANA);11;0
CALABAZA (CRIOLLA/SERRANA);12;0
CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU;1;31591
CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU;2;30331
CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU;3;33474
CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU;4;29027
CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU;5;27781
CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU;6;27242
CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU;7;24968
CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU;8;24549
CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU;9;24803
CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU;10;25842
CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU;11;26001
CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU;12;24143
CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON;1;8924
CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON;2;8458
CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON;3;8837
CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON;4;7150
CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON;5;6782
CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON;6;5867
CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON;7;6640
CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON;8;5804
CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON;9;5284
CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON;10;5107
CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON;11;5725
CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON;12;5191
CEBOLLA CABEZA BLANCA NACIONAL;1;503
CEBOLLA CABEZA BLANCA NACIONAL;2;1185
CEBOLLA CABEZA BLANCA NACIONAL;3;405
CEBOLLA CABEZA BLANCA NACIONAL;4;468
CEBOLLA CABEZA BLANCA NACIONAL;5;336
CEBOLLA CABEZA BLANCA NACIONAL;6;241
CEBOLLA CABEZA BLANCA NACIONAL;7;385
CEBOLLA CABEZA BLANCA NACIONAL;8;460
CEBOLLA CABEZA BLANCA NACIONAL;9;782
CEBOLLA CABEZA BLANCA NACIONAL;10;633
CEBOLLA CABEZA BLANCA NACIONAL;11;796
CEBOLLA CABEZA BLANCA NACIONAL;12;597
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL;1;78215
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL;2;71088
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL;3;81206
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL;4;67939
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL;5;71425
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL;6;63520
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL;7;59879
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL;8;62088
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL;9;62719
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL;10;66661
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL;11;64283
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL;12;53820
CEBOLLA CHINA (CRIOLLA/SERRANA);1;2
CEBOLLA CHINA (CRIOLLA/SERRANA);2;0
CEBOLLA CHINA (CRIOLLA/SERRANA);3;0
CEBOLLA CHINA (CRIOLLA/SERRANA);4;0
CEBOLLA CHINA (CRIOLLA/SERRANA);5;0
CEBOLLA CHINA (CRIOLLA/SERRANA);6;0
CEBOLLA CHINA (CRIOLLA/SERRANA);7;0
CEBOLLA CHINA (CRIOLLA/SERRANA);8;0
CEBOLLA CHINA (CRIOLLA/SERRANA);9;0
CEBOLLA CHINA (CRIOLLA/SERRANA);10;0
CEBOLLA CHINA (CRIOLLA/SERRANA);11;0
CEBOLLA CHINA (CRIOLLA/SERRANA);12;3
CEBOLLA DE RABO (CRIOLLA/SERRANA);1;0
CEBOLLA DE RABO (CRIOLLA/SERRANA);2;0
CEBOLLA DE RABO (CRIOLLA/SERRANA);3;0
CEBOLLA DE RABO (CRIOLLA/SERRANA);4;0
CEBOLLA DE RABO (CRIOLLA/SERRANA);5;0
CEBOLLA DE RABO (CRIOLLA/SERRANA);6;0
CEBOLLA DE RABO (CRIOLLA/SERRANA);7;0
CEBOLLA DE RABO (CRIOLLA/SERRANA);8;0
CEBOLLA DE RABO (CRIOLLA/SERRANA);9;0
CEBOLLA DE RABO (CRIOLLA/SERRANA);10;0
CEBOLLA DE RABO (CRIOLLA/SERRANA);11;0
CEBOLLA DE RABO (CRIOLLA/SERRANA);12;0
CHOCLO CRIOLLO O CHANCAYANO;1;0
CHOCLO CRIOLLO O CHANCAYANO;2;0
CHOCLO CRIOLLO O CHANCAYANO;3;0
CHOCLO CRIOLLO O CHANCAYANO;4;0
CHOCLO CRIOLLO O CHANCAYANO;5;0
CHOCLO CRIOLLO O CHANCAYANO;6;19
CHOCLO CRIOLLO O CHANCAYANO;7;0
CHOCLO CRIOLLO O CHANCAYANO;8;87
CHOCLO CRIOLLO O CHANCAYANO;9;37
CHOCLO CRIOLLO O CHANCAYANO;10;68
CHOCLO CRIOLLO O CHANCAYANO;11;13
CHOCLO CRIOLLO O CHANCAYANO;12;9
CHOCLO PARDO;1;885
CHOCLO PARDO;2;35
CHOCLO PARDO;3;16
CHOCLO PARDO;4;0
CHOCLO PARDO;5;0
CHOCLO PARDO;6;4446
CHOCLO PARDO;7;13711
CHOCLO PARDO;8;18223
CHOCLO PARDO;9;17518
CHOCLO PARDO;10;16158
CHOCLO PARDO;11;13954
CHOCLO PARDO;12;3235
CHOCLO SERRANO SEMILLA CORRIENTE;1;21465
CHOCLO SERRANO SEMILLA CORRIENTE;2;16739
CHOCLO SERRANO SEMILLA CORRIENTE;3;24498
CHOCLO SERRANO SEMILLA CORRIENTE;4;26744
CHOCLO SERRANO SEMILLA CORRIENTE;5;22137
CHOCLO SERRANO SEMILLA CORRIENTE;6;17241
CHOCLO SERRANO SEMILLA CORRIENTE;7;12406
CHOCLO SERRANO SEMILLA CORRIENTE;8;6533
CHOCLO SERRANO SEMILLA CORRIENTE;9;3028
CHOCLO SERRANO SEMILLA CORRIENTE;10;2287
CHOCLO SERRANO SEMILLA CORRIENTE;11;9001
CHOCLO SERRANO SEMILLA CORRIENTE;12;17511
CHOCLO SERRANO TIPO CUZCO;1;58022
CHOCLO SERRANO TIPO CUZCO;2;64389
CHOCLO SERRANO TIPO CUZCO;3;69076
CHOCLO SERRANO TIPO CUZCO;4;46344
CHOCLO SERRANO TIPO CUZCO;5;42796
CHOCLO SERRANO TIPO CUZCO;6;33886
CHOCLO SERRANO TIPO CUZCO;7;24426
CHOCLO SERRANO TIPO CUZCO;8;27439
CHOCLO SERRANO TIPO CUZCO;9;39028
CHOCLO SERRANO TIPO CUZCO;10;50874
CHOCLO SERRANO TIPO CUZCO;11;39289
CHOCLO SERRANO TIPO CUZCO;12;38725
COL BLANCA;1;2
COL BLANCA;2;0
COL BLANCA;3;0
COL BLANCA;4;0
COL BLANCA;5;0
COL BLANCA;6;0
COL BLANCA;7;0
COL BLANCA;8;1
COL BLANCA;9;2
COL BLANCA;10;2
COL BLANCA;11;2
COL BLANCA;12;0
COL CHINA/LONGAPA;1;8
COL CHINA/LONGAPA;2;6
COL CHINA/LONGAPA;3;8
COL CHINA/LONGAPA;4;7
COL CHINA/LONGAPA;5;3
COL CHINA/LONGAPA;6;7
COL CHINA/LONGAPA;7;5
COL CHINA/LONGAPA;8;6
COL CHINA/LONGAPA;9;0
COL CHINA/LONGAPA;10;1
COL CHINA/LONGAPA;11;2
COL CHINA/LONGAPA;12;11
COL CORAZON/NENE/(CRIOLLA/SERRANA);1;78
COL CORAZON/NENE/(CRIOLLA/SERRANA);2;92
COL CORAZON/NENE/(CRIOLLA/SERRANA);3;91
COL CORAZON/NENE/(CRIOLLA/SERRANA);4;63
COL CORAZON/NENE/(CRIOLLA/SERRANA);5;53
COL CORAZON/NENE/(CRIOLLA/SERRANA);6;65
COL CORAZON/NENE/(CRIOLLA/SERRANA);7;63
COL CORAZON/NENE/(CRIOLLA/SERRANA);8;54
COL CORAZON/NENE/(CRIOLLA/SERRANA);9;21
COL CORAZON/NENE/(CRIOLLA/SERRANA);10;73
